name,address,city,state,zip,lat,lon,tel,url
Soverel Harbour Marina,2401 PGA Blvd.,Palm Beach Gardens,FL,33410,26.8460138009802,-80.0703925850772,561-691-9554,https://soverelmarina.com/
Sunrise Harbor Marina,1030 Seminole Dr,Fort Lauderdale,FL,33304,26.1391917026305,-80.1093938879056,954-667-6720,www.sunriseharbormarina.net
Stockton Yacht Club,3235 River Drive,Stockton,CA,95204,37.972358,-121.350403,209-946-9259,www.stocktonyachtclub.org
Marina Bay Yacht Club,2580 Spinnaker Way,Richmond,CA,94804,37.9117099568631,-122.347534606376,510-236-1013,https://www.mbyh.com/
Fort Pierce Inlet Marina,1010 Seaway Dr,Fort Pierce,FL,34949,27.4637572374874,-80.3044218174158,516-805-1558,www.fortpierceinletmarina.com
Martinez Marina,7 North Court St,Martinez,CA,94553,38.0268349990606,-122.137672722547,925-313-0942,www.martinez-marina.com
Burnham Harbor,1559 S Lake Shore Drive,Chicago,IL,60605,41.860564,-87.61146,312-747-7009,www.chicagoharbors.info
DuSable Harbor,111 N. Lake Shore Drive,Chicago,IL,60601,41.8867,-87.612503,312-742-3577,www.chicagoharbors.info
Diversey Harbor Lagoon,2601 N. Cannon Drive,Chicago,IL,60614,41.93086,-87.635082,312-669-4123,www.chicagoharbors.info
Dolphin Isle Marina,32399 Basin St,Fort Bragg,CA,95437,39.4305780588697,-123.795147284911,707-964-4113,www.dolphinisle.com
Easy C's Marina,822 W. Brannan Island Road,Isleton,CA,95641,38.1058006,-121.5960007,916-777-5241,www.easycmarina.com
Eureka Public Marina,500 W. Waterfront Drive,Eureka,CA,95501,40.803127744847,-124.178378899975,707-268-1973,www.ci.eureka.ca.gov
Chagrin River Yacht Club,35943 Lakeshore Blvd,Eastlake,OH,44097,41.670726383859,-81.4262831079126,440-479-5613,www.crycohio.com
Herman & Helen's Marina,15135 W. Eight Mile Road,Stockton,CA,95219,38.0608418995296,-121.499628464434,209-951-4634,www.hermanandhelensmarina.com
Santa Monica Yacht Club Marina,13589 Mindanao Way,Marina Del Rey,CA,90292,33.979961,-118.445632,310-827-7692,www.smwyc.org
California Yacht Marina ,224 Whalers Walk,San Pedro,CA,90731,33.718769,-118.280983,424-201-0467,www.cymcabrillo.com
Alamitos Bay-Long Beach Marina,205 Marina Drive,Long Beach,CA,90803,33.750715,-118.113707,562-570-3215,www.longbeach.gov
Long Beach Yacht Club,6201 Appian Way,Long Beach,CA,90803,33.753989,-118.115236,562-598-9401,www.lbyc.org
